Top 10 documents in the rank list
Query: 1 	 Pr: 0.70000 	 Re: 0.24138    F1:
Query: 2 	 Pr: 0.40000 	 Re: 0.16000 
Query: 3 	 Pr: 0.80000 	 Re: 0.88889
Query: 4 	 Pr: 0.20000 	 Re: 0.66667
Query: 5 	 Pr: 0.40000 	 Re: 0.80000
Query: 6 	 Pr: 0.30000 	 Re: 0.60000
Query: 7 	 Pr: 0.30000 	 Re: 0.50000
Query: 8 	 Pr: 0.30000 	 Re: 0.25000
Query: 9 	 Pr: 0.30000 	 Re: 0.75000
Query: 10 	 Pr: 0.20000 	 Re: 0.22222
Query: 11 	 Pr: 0.30000 	 Re: 0.37500
Query: 12 	 Pr: 0.30000 	 Re: 0.50000
Query: 13 	 Pr: 0.10000 	 Re: 0.20000 
Query: 14 	 Pr: 0.10000 	 Re: 0.33333
Query: 15 	 Pr: 0.20000 	 Re: 0.66667
Query: 16 	 Pr: 0.20000 	 Re: 0.50000
Query: 17 	 Pr: 0.20000 	 Re: 0.66667
Query: 18 	 Pr: 0.20000 	 Re: 0.50000
Query: 19 	 Pr: 0.10000 	 Re: 0.10000
Query: 20 	 Pr: 0.60000 	 Re: 0.60000
Query: 21 	 Pr: 0.40000 	 Re: 0.80000
Query: 22 	 Pr: 0.00000 	 Re: 0.00000
Query: 23 	 Pr: 0.60000 	 Re: 0.18182
Query: 24 	 Pr: 0.30000 	 Re: 0.75000
Query: 25 	 Pr: 0.50000 	 Re: 0.50000
Query: 26 	 Pr: 0.30000 	 Re: 0.42857
Query: 27 	 Pr: 0.00000 	 Re: 0.00000
Query: 28 	 Pr: 0.00000 	 Re: 0.00000
Query: 29 	 Pr: 0.50000 	 Re: 0.50000
Query: 30 	 Pr: 0.10000 	 Re: 0.12500
Query: 31 	 Pr: 0.10000 	 Re: 0.50000
Query: 32 	 Pr: 0.20000 	 Re: 0.28571
Query: 33 	 Pr: 0.40000 	 Re: 1.00000
Query: 34 	 Pr: 0.50000 	 Re: 0.71429
Query: 35 	 Pr: 0.00000 	 Re: 0.00000
Query: 36 	 Pr: 0.10000 	 Re: 0.33333
Query: 37 	 Pr: 0.30000 	 Re: 0.30000
Query: 38 	 Pr: 0.20000 	 Re: 0.18182
Query: 39 	 Pr: 0.20000 	 Re: 0.14286
Query: 40 	 Pr: 0.30000 	 Re: 0.23077
Query: 41 	 Pr: 0.30000 	 Re: 0.75000
Query: 42 	 Pr: 0.40000 	 Re: 0.66667
Query: 43 	 Pr: 0.50000 	 Re: 0.71429
Query: 44 	 Pr: 0.00000 	 Re: 0.00000
Query: 45 	 Pr: 0.40000 	 Re: 0.30769
Query: 46 	 Pr: 0.60000 	 Re: 0.37500
Query: 47 	 Pr: 0.50000 	 Re: 0.33333
Query: 48 	 Pr: 0.40000 	 Re: 0.33333
Query: 49 	 Pr: 0.20000 	 Re: 0.66667
Query: 50 	 Pr: 0.10000 	 Re: 0.14286
Query: 51 	 Pr: 0.60000 	 Re: 0.54545
Query: 52 	 Pr: 0.50000 	 Re: 1.00000
Query: 53 	 Pr: 0.20000 	 Re: 0.18182
Query: 54 	 Pr: 0.20000 	 Re: 0.20000
Query: 55 	 Pr: 0.20000 	 Re: 0.18182
Query: 56 	 Pr: 0.30000 	 Re: 0.27273
Query: 57 	 Pr: 0.40000 	 Re: 0.26667
